exp,mae_local,mae_baseline
run1_0,0.377606,0.412386
run2_0,0.497535,0.481715
run3_0,0.469286,0.430881
run4_0,0.487438,0.459827
run5_0,0.484204,0.437012
run1_200,0.269734,0.418787
run2_200,0.166501,0.409276
run3_200,0.187438,0.418443
run4_200,0.260381,0.407574
run5_200,0.237752,0.407575
run1_400,0.150949,0.416797
run2_400,0.170177,0.398963
run3_400,0.174848,0.395580
run4_400,0.128675,0.410800
run5_400,0.144288,0.414827
run1_600,0.108698,0.400853
run2_600,0.098156,0.415875
run3_600,0.125143,0.389514
run4_600,0.109393,0.397007
run5_600,0.150146,0.388248
run1_800,0.141572,0.431811
run2_800,0.117717,0.400568
run3_800,0.093981,0.408610
run4_800,0.125411,0.418600
run5_800,0.155244,0.419739
run1_1000,0.106734,0.411458
run2_1000,0.132840,0.411599
run3_1000,0.106725,0.392571
run4_1000,0.120924,0.413376
run5_1000,0.102074,0.390797
run1_1200,0.110232,0.412804
run2_1200,0.073836,0.410518
run3_1200,0.106481,0.429464
run4_1200,0.098318,0.411161
run5_1200,0.073952,0.425042
run1_1400,0.102320,0.432737
run2_1400,0.096355,0.417153
run3_1400,0.090605,0.391811
run4_1400,0.079936,0.426645
run5_1400,0.094236,0.422541
run1_1600,0.092196,0.423310
run2_1600,0.087590,0.429852
run3_1600,0.081961,0.393263
run4_1600,0.076959,0.401284
run5_1600,0.154416,0.415270
run1_1800,0.079832,0.425801
run2_1800,0.074586,0.456456
run3_1800,0.085644,0.402715
run4_1800,0.083769,0.425580
run5_1800,0.127288,0.439392
run1_2000,0.070438,0.464300
run2_2000,0.070628,0.451048
run3_2000,0.078739,0.475740
run4_2000,0.072419,0.477943
run5_2000,0.072907,0.513752
